,x,y,u (m/s),v (m/s),p (Pa),mask
0,0.0,0.0,0.0,0.0,0.0,True
1,0.00392156862745098,0.0,0.0,0.0,7.891440098154925e-07,True
2,0.00784313725490196,0.0,3.700030837710614e-22,1.8357884188551335e-23,4.853081636126923e-06,True
3,0.011764705882352941,0.0,0.0,0.0,1.1889784848137738e-05,True
4,0.01568627450980392,0.0,0.0,0.0,2.0304989028021062e-05,True
5,0.0196078431372549,0.0,-1.2509898761585425e-20,2.799922061946531e-21,2.8938347654450532e-05,True
6,0.023529411764705882,0.0,-1.5396798475797447e-20,3.4460579223957305e-21,3.6759028132319355e-05,True
7,0.027450980392156862,0.0,0.0,0.0,4.298373135565889e-05,True
8,0.03137254901960784,0.0,1.3981292472490697e-20,-2.3410344652394467e-21,4.735676229274256e-05,True
9,0.03529411764705882,0.0,0.0,0.0,4.9777521825567045e-05,True
10,0.0392156862745098,0.0,0.0,0.0,4.971304006840841e-05,True
11,0.043137254901960784,0.0,0.0,0.0,4.6368241301948936e-05,True
12,0.047058823529411764,0.0,0.0,0.0,4.0871064550879584e-05,True
13,0.050980392156862744,0.0,0.0,0.0,3.2764502180815574e-05,True
14,0.054901960784313725,0.0,0.0,0.0,2.101667605204139e-05,True
15,0.058823529411764705,0.0,0.0,0.0,7.577892086856884e-06,True
16,0.06274509803921569,0.0,0.0,0.0,-9.272321065923944e-06,True
17,0.06666666666666667,0.0,0.0,0.0,-2.8393756264303914e-05,True
18,0.07058823529411765,0.0,0.0,0.0,-4.9467494283663586e-05,True
19,0.07450980392156863,0.0,0.0,0.0,-7.362786365551777e-05,True
20,0.0784313725490196,0.0,0.0,0.0,-9.863004157805196e-05,True
21,0.08235294117647059,0.0,0.0,0.0,-0.00012702787652349912,True
22,0.08627450980392157,0.0,0.0,0.0,-0.00015577526356732804,True
23,0.09019607843137255,0.0,0.0,0.0,-0.00018734485362922407,True
24,0.09411764705882353,0.0,0.0,0.0,-0.00021920396656131613,True
25,0.09803921568627451,0.0,0.0,0.0,-0.00025332970448620483,True
26,0.10196078431372549,0.0,0.0,0.0,-0.00028763216965257174,True
